Candidate Name,Party,Status,State,Constituency
BAGUL MUKTARAM RATAN,Sainik Samaj Party,Applied,Maharashtra,NANDGAON
SAMEER GOPINATH TUPE,Independent,Applied,Maharashtra,HADAPSAR
HARISH MAROTIAPPA PIMPLE,Bharatiya Janata Party,Applied,Maharashtra,MURTIZAPUR
TUSHAR SHIVRAM MANE,Independent,Applied,Maharashtra,DINDOSHI
SHIVYOGI GURUMAHANTPATTDEVRU SWAMI HIREMATH,Independent,Applied,Maharashtra,SHIROL
YASH SUDHAKAR GAURKHEDE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,NAGPUR WEST
REKHA MANOHAR NIMJE,Jay Vidarbha Party,Applied,Maharashtra,NAGPUR SOUTH
DADASAHEB MAHADEV PATIL,Bharatiya Janata Party,Applied,Maharashtra,OSMANABAD
SHANE HIND NIHAL AHEMAD,Samajwadi Party,Applied,Maharashtra,MALEGAON CENTRAL
PRIYA DASHRATH KARDALE,Bhartiya Dharmanirpeksha Party,Applied,Maharashtra,SHIRUR
SHAKIR NASIR SHAIKH,Independent,Applied,Maharashtra,DINDOSHI
RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,Applied,Maharashtra,BOISAR
PRAVIN NANAJI PADWEKAR,Indian National Congress,Applied,Maharashtra,CHANDRAPUR
PRAKASH BHIKCHAND DONDE,Independent,Applied,Maharashtra,DEOLALI
MADHUKAR VAMANRAO HANVATE,Bahujan Samaj Party,Applied,Maharashtra,LATUR RURAL
RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,Applied,Maharashtra,BOISAR
SANDEEP DHONDIRAM KAMBLE,Bahujan Mukti Party,Applied,Maharashtra,DINDOSHI
SHRIRAM PRALHADRAO PINGLE,Independent,Applied,Maharashtra,BEED
MARUTI BABURAO WAGHCHAURE,Independent,Applied,Maharashtra,SHIRUR
SURAJ CHANDRAKANT GAIKWAD,Indian National Congress,Applied,Maharashtra,BHOSARI
VITTHAL GANGADHAR PAWDE,Independent,Applied,Maharashtra,NANDED NORTH
ANKITA RAJU SHINDE,Independent,Applied,Maharashtra,MURTIZAPUR
PANKAJ RAMCHANDRA KHATAL,Independent,Applied,Maharashtra,NANDGAON
ARUN SHANKAR NIKOLE,Bahujan Vikas Aaghadi,Applied,Maharashtra,DAHANU
DHANANJAY KRUSHNAJI DHAPODKAR,Independent,Applied,Maharashtra,NAGPUR SOUTH
PANKAJ RAMCHANDRA KHATAL,Independent,Applied,Maharashtra,NANDGAON
RAHUL RAMKRUSHNA KAMBLE,Independent,Applied,Maharashtra,SHIROL
SAMBHAJI EKNATH JADHAV,Independent,Applied,Maharashtra,MAN
MOMIN MUSHTAQ,Republican Sena,Applied,Maharashtra,BHIWANDI WEST
SHAIKH AASIF SHAIKH RASHEED,Independent,Applied,Maharashtra,MALEGAON CENTRAL
RAJENDRA BHAURAO MULAK,Indian National Congress,Applied,Maharashtra,RAMTEK
DINKAR DATTATRAY WADHAN,Independent,Applied,Maharashtra,BOISAR
NANDKISHOR SHANKARRAO SALUNKE,Independent,Applied,Maharashtra,LATUR RURAL
PRAKASH BUDHAJI GAJBHIYE,Bahujan Samaj Party,Applied,Maharashtra,NAGPUR WEST
SANTOSH RAJENDRA SHINDE,Independent,Applied,Maharashtra,DINDOSHI
SUDHIR PITAMBAR BAGUL,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,AMBERNATH
SHAIKH RIYAZ,Independent,Applied,Maharashtra,NANDED NORTH
ASIF AMIN TANWAR,Peace Party,Applied,Maharashtra,VANDRE WEST
PURUSHOTTAM NARAYANRAO VEER,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,BEED
SWAPNIL SANJAY DHANGAR,Independent,Applied,Maharashtra,DEOLALI
SHATRUGHNA SHIVAJI APTE,Independent,Applied,Maharashtra,SHIRUR
MAHESH MOHAN CHAVHAN,Independent,Applied,Maharashtra,KARANJA
MOHAMMAD ISMAILE ABDUL KHALIK,All India Majlis-E-Ittehadul Muslimeen,Applied,Maharashtra,MALEGAON CENTRAL
DR PRAKASH SHANKAR RAMTEKE,Bahujan Mukti Party,Applied,Maharashtra,CHANDRAPUR
DADASAHEB MAHADEV PATIL,Independent,Applied,Maharashtra,OSMANABAD
RAJU DNYANDEV PATAOKAR,Independent,Applied,Maharashtra,DINDOSHI
SUNIL SURYBHAN KAWADE,The Public Welfare Party,Applied,Maharashtra,NAGPUR SOUTH
DAYANAND GORAKH BANSODE,Bhartiya Jan Vikas Aaghadi,Applied,Maharashtra,PARANDA
VINOD BHIVA NIKOLE,Communist Party of India  (Marxist),Applied,Maharashtra,DAHANU
MAHADU GANGARAM GIRGAONKAR,Independent,Applied,Maharashtra,DEGLUR
BORKAR BALU RAJARAM,Independent,Applied,Maharashtra,NANDGAON
VINOD BHIVA NIKOLE,Communist Party of India  (Marxist),Applied,Maharashtra,DAHANU
ADV SURESH VAMAN KEDAR,Bharatheeya Jawan Kisan Party,Applied,Maharashtra,BHUSAWAL
VISHAL SHANKAR SONAVANE,Bahujan Samaj Party,Applied,Maharashtra,SHIRUR
SAYYAD ANSAR,Independent,Applied,Maharashtra,NANDED NORTH
RUPESH RADHESHYAM KADAM,Independent,Applied,Maharashtra,DINDOSHI
RAMESH RAMRAO KHADAP,Independent,Applied,Maharashtra,LATUR RURAL
IMRAN ISMAIL SANADI,Independent,Applied,Maharashtra,SHIROL
BORKAR BALU RAJARAM,Rashtriya Samaj Paksha,Applied,Maharashtra,NANDGAON
ZAHID MURBATAR ANSARI,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,BHIWANDI WEST
SURAJ CHANDRAKANT GAIKWAD,Independent,Applied,Maharashtra,BHOSARI
NAGESH RAOSAHEB GAIKWAD,Independent,Applied,Maharashtra,DEGLUR
ANWARPASHA AHEMAD SYED,Independent,Applied,Maharashtra,BEED
MOHAMMAD YASEEN UMAR FAROOQ,Independent,Applied,Maharashtra,MALEGAON CENTRAL
GIRISH KRUSHNARAO PANDAV,Indian National Congress,Applied,Maharashtra,NAGPUR SOUTH
MANDAR HEMCHANDRA DHIWARE,Independent,Applied,Maharashtra,DEOLALI
RITA PRAKASH SONAWANE,Independent,Applied,Maharashtra,PIMPRI
RAJENDRA BHAURAO MULAK,Independent,Applied,Maharashtra,RAMTEK
NASEEM KHAN PATHAN,Independent,Applied,Maharashtra,NAGPUR SOUTH
MOHD MUNIR ABDUL MAZEED KHAN,Independent,Applied,Maharashtra,DINDOSHI
BAJRANG APPA KUMBHAR,Janata Dal  (Secular),Applied,Maharashtra,SHIROL
MANOJ RAMDAS GAURKHEDE,Bharatiya Yuva Jan Ekta Party,Applied,Maharashtra,NAGPUR WEST
JYOTI KISHOR MESHRAM,Apni Prajahit Party,Applied,Maharashtra,NAGPUR NORTH
PRADEEP VIDYADHAR KAND,Independent,Applied,Maharashtra,SHIRUR
VIJAY RAMESHRAO KHOBRAGADE,Rashtriya Gondvana Party,Applied,Maharashtra,DHAMANGAON RAILWAY
MANDAR HEMCHANDRA DHIWARE,Sambhaji Brigade Party,Applied,Maharashtra,DEOLALI
PRADEEP VIDYADHAR KAND,Independent,Applied,Maharashtra,SHIRUR
RAVINDRA BAJARANG BHANAVAT,Independent,Applied,Maharashtra,NANDED NORTH
SOMESHWAR RAJKUMAR KADAM,Maharashtra Navnirman sena,Applied,Maharashtra,BEED
AYYUB ILAHIBAKSH SHAIKH,Independent,Applied,Maharashtra,HADAPSAR
PRASHANT MANOHAR TAYADE,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,BHUSAWAL
HUSSAIN ISMAIL TAJ,Independent,Applied,Maharashtra,DINDOSHI
PRABHAKAR DEVBA GHARGE,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,MAN
ANIL GAMBHIR MORE,Bahujan Samaj Party,Applied,Maharashtra,MUKTAINAGAR
PRASHANT MANOHAR TAYADE,Independent,Applied,Maharashtra,BHUSAWAL
PRADEEP VIDYADHAR KAND,Bharatiya Janata Party,Applied,Maharashtra,SHIRUR
KULDIP RAJKUMAR SURYAWANSHI,Independent,Applied,Maharashtra,LATUR RURAL
AMOL SHANKARRAO GHARGE,Independent,Applied,Maharashtra,MAN
JAMILKHAN MAHEBUB PATHAN,Independent,Applied,Maharashtra,PARANDA
SAVITRIBAI SHRIHARI KAMBLE,Bahujan Samaj Party,Applied,Maharashtra,DEGLUR
AYYUB ILAHIBAKSH SHAIKH,Independent,Applied,Maharashtra,HADAPSAR
GABBAR SUDAM SAKAT,Janhit Lokshahi Party,Applied,Maharashtra,SHIROL
ROHIT DINDAYAL ILPACHI,Bharat Adivasi Party,Applied,Maharashtra,NAGPUR SOUTH
CHAUGHULE MAHESH PRABHAKAR,Bharatiya Janata Party,Applied,Maharashtra,BHIWANDI WEST
PRASHANT VIRAJ INGOLE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,NANDED NORTH
BABURAO DATTOBA CHANDERE,Independent,Applied,Maharashtra,KOTHRUD
AKASH PRATAP PATEL,Independent,Applied,Maharashtra,DAHANU
SANJAY PANDIT BRAMHANE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,MUKTAINAGAR
HARSHARAJ EKNATH KATKAR,Independent,Applied,Maharashtra,MAN
CHAUGHULE MAHESH PRABHAKAR,Bharatiya Janata Party,Applied,Maharashtra,BHIWANDI WEST
BHIMRAO TATOBA HOWAL,Independent,Applied,Maharashtra,DINDOSHI
KHADASE ROHINI PANDIT,Independent,Applied,Maharashtra,MUKTAINAGAR
KALIM JAHANGIR SHAIKH,Akhil Bhartiya Parivar Party,Applied,Maharashtra,BEED
GAJANAN DATTRAMJI DHUMAL,Buland Bharat Party,Applied,Maharashtra,NANDED NORTH
NANDKUMAR URF NANASO MAHADEV MORE,Independent,Applied,Maharashtra,MAN
ANUP SUDAM NAVALE,Independent,Applied,Maharashtra,KOTHRUD
BHARAT LAXMAN PATIL,Maharashtra Navnirman sena,Applied,Maharashtra,BHIWANDI WEST
NANA UTTAM BACHHAV,Independent,Applied,Maharashtra,NANDGAON
RAJESH JANRAO GOPALE,Independent,Applied,Maharashtra,NAGPUR WEST
NETAJI VAMANRAO PATIL,Independent,Applied,Maharashtra,OSMANABAD
ANAND ANNA ALKUNTE,Independent,Applied,Maharashtra,HADAPSAR
RAJENDRA VALMIK KANCHAN,Independent,Applied,Maharashtra,SHIRUR
SHANE HIND NIHAL AHEMAD,Samajwadi Party,Applied,Maharashtra,MALEGAON CENTRAL
ANUPKUMAR PREMCHAND MANURE,Indian National Congress,Applied,Maharashtra,BHUSAWAL
JAYADIP PANDURANG BHOSALE,Rashtriya Maratha Party,Applied,Maharashtra,MAN
MAROTI LACHAMANNA DEGLOORKAR,Lokrajya Party,Applied,Maharashtra,NAIGAON
ANIL LAXMAN CHITALE,Independent,Applied,Maharashtra,DINDOSHI
BABURAO DATTOBA CHANDERE,Nationalist Congress Party,Applied,Maharashtra,KOTHRUD
PRASHANT BABRUWAN KALE,Independent,Applied,Maharashtra,UMARGA
SURAYYABANO DAGADU SHAHA,Independent,Applied,Maharashtra,MUKTAINAGAR
DR RAJASHRI HARISHCHANDRA AHIRRAO,Shiv Sena,Applied,Maharashtra,DEOLALI
SURAYYABANO DAGADU SHAHA,Independent,Applied,Maharashtra,MUKTAINAGAR
VIKIBHAU DAYARAMAJI MUNDE,Jan Janwadi Party,Applied,Maharashtra,DHAMANGAON RAILWAY
SURAYYABANO DAGADU SHAHA,Independent,Applied,Maharashtra,MUKTAINAGAR
KUNDLIK  HARIBHAU KHANDE,Maharashtra Swarajya party,Applied,Maharashtra,BEED
SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party,Applied,Maharashtra,VANDRE WEST
SHRI KAILAS GAHININATH BANSODE,Independent,Applied,Maharashtra,PIMPRI
MOHAMMAD YAKUB SHAIKH,Independent,Applied,Maharashtra,BHIWANDI WEST
MANOJ SATISH MANE,Rashtriya Samaj Paksha,Applied,Maharashtra,HADAPSAR
AADARSH RAVISHANKAR THAKUR,Independent,Applied,Maharashtra,NAGPUR WEST
KUNDLIK  HARIBHAU KHANDE,Maharashtra Swarajya party,Applied,Maharashtra,BEED
DATTATRAY SAMPATRAO BAVANE,Independent,Applied,Maharashtra,LATUR RURAL
ARIF KHALIQ SHAIKH,All India Majlis-E-Inquilab-E-Millat,Applied,Maharashtra,RAVER
AVINASH DEVRAOJI KUMBHALKAR,Independent,Applied,Maharashtra,NAGPUR SOUTH
BASKAR NIVRITI SONSALE,Independent,Applied,Maharashtra,NANDED NORTH
PUSHPATAI MAHADVRAO INGLE,Independent,Applied,Maharashtra,MURTIZAPUR
DR RAJASHRI HARISHCHANDRA AHIRRAO,Independent,Applied,Maharashtra,DEOLALI
POOJA SACHIN GAIKWAD,Indian National Congress,Applied,Maharashtra,DEGLUR
HANMANT ANGADRAO MAMILWAD,Independent,Rejected,Maharashtra,LATUR CITY
DAPHAL TUKARAM NAMDEO,Sainik Samaj Party,Applied,Maharashtra,SHIRUR
FIROZ DAGDU TADVI,All India Hindustan Congress Party,Applied,Maharashtra,NANDURBAR
KUNAL PREANAND JANBANDHU,Minorities Democratic Party,Applied,Maharashtra,NAGPUR NORTH
BHUPESH VISHRAM BAVISKAR,Independent,Applied,Maharashtra,BHUSAWAL
BHANUDAS BALBHIMRAO JADHAV,Independent,Applied,Maharashtra,BEED
VAMAN SHRIRANG PANDGALE,Independent,Applied,Maharashtra,UMARGA
VAISHALI BIRUDEO VHADGAR,Independent,Applied,Maharashtra,NANDGAON
PRAVINKUMAR SHAMRAO MANGAVE,Janata Dal  (Secular),Applied,Maharashtra,SHIROL
UMA VITHHAL BHIL,Independent,Applied,Maharashtra,RAVER
KASHINATH RAJARAM PATIL,Independent,Applied,Maharashtra,MUKTAINAGAR
MAHAVIR CHANDRAKANT SANGADE,Maharashtra Swarajya party,Applied,Maharashtra,PARANDA
KRISHNALAL BAJIRAO SAHARE,Bharatiya Janata Party,Applied,Maharashtra,BRAHMAPURI
VISHWAS BHAGWAT BAHIRWAL,Independent,Applied,Maharashtra,BEED
RAFIQUE RASHID QURESHI,Independent,Applied,Maharashtra,BHOSARI
MAHESH SURESH MORE,Sambhaji Brigade Party,Applied,Maharashtra,DINDOSHI
SHIVAJI UTTAMRAO PAWAR,Sambhaji Brigade Party,Applied,Maharashtra,HADAPSAR
JALABA VITTHALRAO GAWALE,Independent,Applied,Maharashtra,NAIGAON
SANDEEP KRUSHNARAO WATH,Independent,Applied,Maharashtra,DHAMANGAON RAILWAY
SHAIKH RAHIM SHAIKH AHMAD,Independent,Applied,Maharashtra,BHUSAWAL
SANTOSH SHRAVAN THORAT,Peoples Party of India (Democratic),Applied,Maharashtra,AMBERNATH
MADHURI MOHAN MATE,Baliraja Party,Applied,Maharashtra,NAGPUR SOUTH
PRAMOD MADHAV BODADE,Independent,Applied,Maharashtra,MUKTAINAGAR
SHAIKH LATIF SHAIKH BABAN,Independent,Applied,Maharashtra,NANDED NORTH
PARAG SHANKAR SAHARE,Independent,Applied,Maharashtra,BRAHMAPURI
ARCHANA DATTU ALTE,Independent,Accepted,Maharashtra,LATUR CITY
DABHADE GANESH KUNDALIK,Independent,Applied,Maharashtra,SHIRUR
SHAIKH RAHIM SHAIKH AHMAD,All India Majlis-E-Ittehadul Muslimeen,Applied,Maharashtra,BHUSAWAL
SURAJ RAJESH SALUNKE,Shiv Sena,Applied,Maharashtra,OSMANABAD
NANASAHEB SHANKARRAO GAYKE,Bharatiya Yuva Jan Ekta Party,Applied,Maharashtra,GANGAPUR
RAFIQUE RASHID QURESHI,Bahujan Samaj Party,Applied,Maharashtra,BHOSARI
MANOJ BHIMRAO GAJBHIYE,Bahujan Samaj Party,Applied,Maharashtra,NAGPUR WEST
SUGAT GYANSHWAR WAGHMARE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,MURTIZAPUR
VILAS SUKUR TARE,Shiv Sena,Applied,Maharashtra,BOISAR
DR NARAYAN LAXMAN JADHAV,Independent,Applied,Maharashtra,MURBAD
DATTATRAY SHIVAJIRAO PATIL,Independent,Applied,Maharashtra,LATUR RURAL
KUNDLIK  HARIBHAU KHANDE,Independent,Applied,Maharashtra,BEED
RAHUL SAIDAJI DIGGIKAR,Independent,Applied,Maharashtra,UMARGA
SANGRAM GANGARAM SURYWANSHI,Independent,Applied,Maharashtra,DEGLUR
KAWALE ROHINI SANTOSH,Independent,Applied,Maharashtra,MUKTAINAGAR
VIJAY SHANKAR RAMTEKE,Independent,Applied,Maharashtra,DHAMANGAON RAILWAY
VILAS VISHWANATH PATIL,Independent,Applied,Maharashtra,BHIWANDI WEST
DIPAK SURESH KANERI,Independent,Applied,Maharashtra,DINDOSHI
JITENDRA RAMCHANDRA THOMBARE,Independent,Applied,Maharashtra,SHIROL
CHAUDHARI ANIL CHABILDAS,Independent,Applied,Maharashtra,RAVER
CHANDRAKANT BHOJIBA SANAP,Independent,Applied,Maharashtra,BEED
SUHAS POPAT GAJARMAL,Independent,Applied,Maharashtra,KOTHRUD
AVINASH PUNDLIKRAO ITAKAPALLE,Bahujan Samaj Party,Applied,Maharashtra,NAIGAON
LAXMAN (DADA) ATMARAM SHIROLE,Republican Party of India (A),Applied,Maharashtra,PIMPRI
SURYAKANT NAMDEV TADLAPURKAR,Independent,Applied,Maharashtra,NANDED NORTH
AMOL SHANTARAM SHINDE,Independent,Applied,Maharashtra,PACHORA
CHAVAN DEEPAK RAMCHANDRA,Independent,Applied,Maharashtra,PHALTAN
AJAMI RIYAJ MUKKIMUDDIN,Samajwadi Party,Applied,Maharashtra,BHIWANDI WEST
SIDDHARTH MAHADEV SURYAWANSHI,Bahujan Samaj Party,Accepted,Maharashtra,LATUR CITY
KHALOOBAI YUNUS TADAVI,All India Hindustan Congress Party,Applied,Maharashtra,RAVER
AKASH VIJAY UIKEY,Independent,Applied,Maharashtra,NAGPUR SOUTH
MAHENDRA TULSHIRAM BHANGE,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,NAGPUR NORTH
MEDHA VINOD SURESH,Bharatiya Janata Party,Applied,Maharashtra,DAHANU
CHAVAN DEEPAK RAMCHANDRA,Independent,Applied,Maharashtra,PHALTAN
SUGAT GYANSHWAR WAGHMARE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,MURTIZAPUR
SHAILESH PRABHAKAR BODADE,Indian National Congress,Applied,Maharashtra,BHUSAWAL
PREMLAL RAMKISAN MESHRAM,Independent,Applied,Maharashtra,BRAHMAPURI
VISHWAJEET MADHUKAR PATIL,Independent,Applied,Maharashtra,PARANDA
MURALIDHAR PADMAKAR JWARI,Independent,Applied,Maharashtra,KOTHRUD
KHADASE ROHINI GOKUL,Independent,Applied,Maharashtra,MUKTAINAGAR
KIRAN ASHOK BHALERAO,Bahujan Samaj Party,Applied,Maharashtra,AMBERNATH
GANESH TULSHIRAM MOTE,Independent,Applied,Maharashtra,PHULAMBRI
AMIT MANKHA TADAVEE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,PACHORA
SHAILESH PRABHAKAR BODADE,Independent,Applied,Maharashtra,BHUSAWAL
HEMANT BRIJESH PANDE,Independent,Applied,Maharashtra,NAGPUR WEST
PREMLAL RAMKISAN MESHRAM,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,BRAHMAPURI
CHAVAN DEEPAK RAMCHANDRA,Sanay Chatrapati Shasan,Applied,Maharashtra,PHALTAN
KSHIRSAGAR SARIKA YOGESH,Nationalist Congress Party,Applied,Maharashtra,BEED
ARIF NIJAMUDDIN SHAIKH,Independent,Applied,Maharashtra,BHIWANDI WEST
PANDURANG SHANKARRAO POLE,Shiv Sena (Uddhav Balasaheb Thackeray),Applied,Maharashtra,UMARGA
AJARODDIN MOHAMMAD RAFIK SAYYED,Independent,Accepted,Maharashtra,LATUR CITY
SONAM NARESH GAIKWAD,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,MURBAD
KSHIRSAGAR SARIKA YOGESH,Independent,Applied,Maharashtra,BEED
MADHURI HIRALAL JAWARKAR,Independent,Applied,Maharashtra,MELGHAT
SURESH RUPA TAYADE,Independent,Applied,Maharashtra,MUKTAINAGAR
IRANNA RAOSAHEB SURYAKAR,Independent,Applied,Maharashtra,NAIGAON
SANJAY SHIVAJI PACHANGE,Independent,Applied,Maharashtra,SHIRUR
PUSHPA PRAKASH DHODI,Independent,Applied,Maharashtra,BOISAR
ABDUL MEHAFUJ,Independent,Applied,Maharashtra,NAGPUR SOUTH
ANAND ANKUSH LAMTURE,Independent,Accepted,Maharashtra,LATUR CITY
ROHIT SUBHASHRAO SABNE,Independent,Applied,Maharashtra,DEGLUR
MO. SHAFIKHAN MUSTUFA TADAVI,Independent,Applied,Maharashtra,RAVER
ANIL UDHDVARAO BHOLE,Independent,Applied,Maharashtra,DHAMANGAON RAILWAY
HARIDAS SANTUKA DINDE,Independent,Applied,Maharashtra,MUKHED
RAMESH SUBRAO BANSODE,Bhartiya Jan Vikas Aaghadi,Applied,Maharashtra,OSMANABAD
AMAN ISHWAR SURWASE,Independent,Applied,Maharashtra,LATUR RURAL
JAWAAD ABDUL HAMID CHIKHLEKAR,Independent,Applied,Maharashtra,BHIWANDI WEST
VILAS NANA GADEKAR,Independent,Rejected,Maharashtra,PHULAMBRI
PANDURANG SHANKARRAO POLE,Independent,Applied,Maharashtra,UMARGA
DR SAMIDHA SUHAS NATAWADKAR,Indian National Congress,Applied,Maharashtra,NANDURBAR
AMEYA MADHUKAR JOSHI,Independent,Applied,Maharashtra,KOTHRUD
MANISH DATTATRAY WADJE,Independent,Applied,Maharashtra,NANDED NORTH
NATHA SHIVRAM PACHARNE,Bahujan Mukti Party,Applied,Maharashtra,SHIRUR
SURESH PANDURANG PATIL,Hindustan Janta Party,Applied,Maharashtra,PACHORA
PREETI TORAN MAHAJAN,Indian National Congress,Applied,Maharashtra,BHUSAWAL
JAWAAD ABDUL HAMID CHIKHLEKAR,Indian National Congress,Applied,Maharashtra,BHIWANDI WEST
CHANDRAKANT NIMBA PATIL,Shiv Sena,Applied,Maharashtra,MUKTAINAGAR
VINOD KAWADUJI KHOBRAGADE,Independent,Applied,Maharashtra,CHANDRAPUR
KRISHNA LAXMAN DESAI,Independent,Applied,Maharashtra,DINDOSHI
RAVINDRA NAMDEO PANDIT,Independent,Applied,Maharashtra,MURTIZAPUR
JAFAR ALI MAKSUD ALI,All India Majlis-E-Ittehadul Muslimeen,Applied,Maharashtra,MUKTAINAGAR
KHUDUBUDDIN ABU HOBALE,Independent,Applied,Maharashtra,BHOSARI
SATISH LAKSHMAN KAWDE,Independent,Applied,Maharashtra,MUKHED
LALITKUMAR RAMKISHOR GHOGALE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,JALGAON CITY
JAFAR ALI MAKSUD ALI,Independent,Applied,Maharashtra,MUKTAINAGAR
RAMESH SITARAM SAMARTH,Republican Party of India (A),Applied,Maharashtra,BRAHMAPURI
SANGITA SHIVPRASAD GUPTA,Independent,Applied,Maharashtra,AMBERNATH
CHAIUDHARI HARSHA ANIL,Independent,Applied,Maharashtra,RAVER
SURESH NIVRUTTI PAWAR,Independent,Accepted,Maharashtra,LATUR CITY
HANUMAN HARI POKLA,Independent,Applied,Maharashtra,MURBAD
PREETI TORAN MAHAJAN,Independent,Applied,Maharashtra,BHUSAWAL
HANMANT IRANNA GHODAKE,Independent,Applied,Maharashtra,UMARGA
SHRI KAILAS NARAYAN KHUDE,Independent,Applied,Maharashtra,PIMPRI
SURESH NIVRUTTI PAWAR,Maharashtra Vikas Aghadi,Accepted,Maharashtra,LATUR CITY
MILINDKUMAR SUDHAKAR MAGHADE,Independent,Applied,Maharashtra,CHIKHLI
MIRZA IMRAN BEG MIRZA SALIM BEG,Rashtriya Samaj Paksha,Applied,Maharashtra,AKOLA WEST
SOMWANSHI SACHIN ASHOK,Indian National Congress,Applied,Maharashtra,PACHORA
EJAJ BEG AJIJ BEG,Indian National Congress,Applied,Maharashtra,MALEGAON CENTRAL
SOMWANSHI SACHIN ASHOK,Independent,Applied,Maharashtra,PACHORA
BHUSHAN RAMCHANDRA SHIRKE,Independent,Applied,Maharashtra,KOTHRUD
PRASHANT VASANT KOREGAONKAR,Nationalist Congress Party,Applied,Maharashtra,PHALTAN
SADASHIV RAJARAM BHUYARE,Independent,Applied,Maharashtra,NANDED NORTH
SACHIN VIDYAMAN KUMBHARE,Aazad Samaj Party (Kanshi Ram),Applied,Maharashtra,NAGPUR SOUTH
ASMA JAWAAD CHIKHLEKAR,Indian National Congress,Applied,Maharashtra,BHIWANDI WEST
HANUMANTRAO MAROTI WANALE,Rashtriya Samaj Paksha,Applied,Maharashtra,NAIGAON
MASTAN PASHUMIYA PINJARI,Independent,Applied,Maharashtra,MUKHED
GAJANAN DNYANESHWAR CHANDURKAR,Independent,Applied,Maharashtra,DHAMANGAON RAILWAY
PRASHANT VASANT KOREGAONKAR,Independent,Applied,Maharashtra,PHALTAN
SUMITRABAI ALAIS SWATI JADHAV PATIL,Independent,Applied,Maharashtra,LATUR RURAL
ASMA JAWAAD CHIKHLEKAR,Indian National Congress,Applied,Maharashtra,BHIWANDI WEST
SARIKA BALIRAM GAVATE,Independent,Applied,Maharashtra,BEED
YAMINI CHANDRAKANT PATIL,Shiv Sena,Applied,Maharashtra,MUKTAINAGAR
PRAVESH RAJARAM VISHWAKARMA,Vishwa Kalyan Rashtriya Manav Samaj Party,Rejected,Maharashtra,KALYAN WEST
PRAVIN NANA SURWADE,Independent,Applied,Maharashtra,BHUSAWAL
DR. PREMANAND WAMANRAO WAGHMARE,Rashtriya Maratha Party,Applied,Maharashtra,KURLA
BALAJI PRALHAD KINIKAR,Shiv Sena,Applied,Maharashtra,AMBERNATH
VIJAY SHANTILAL NAHATA,Independent,Applied,Maharashtra,BELAPUR
ASMA JAWAAD CHIKHLEKAR,Independent,Applied,Maharashtra,BHIWANDI WEST
UMESH DNYANDEV SURWASE,Janhit Lokshahi Party,Applied,Maharashtra,UMARGA
ARIF KHALIQ SHAIKH,Independent,Applied,Maharashtra,RAVER
BALAJI NAMDEV KHATGAONKA,Independent,Applied,Maharashtra,MUKHED
ANISKHA HABIBKHA PATHAN,Independent,Applied,Maharashtra,PHULAMBRI
SIDDHANT ASHOKRAO WANKHEDE,Aazad Samaj Party (Kanshi Ram),Applied,Maharashtra,CHIKHLI
NARENDRA PURUSHOTTAM JICHKAR,Independent,Applied,Maharashtra,NAGPUR WEST
PATIL HANMANTRAO VENKATRAO,Independent,Applied,Maharashtra,MUKHED
NILESH TATYARAM KESKAR,Independent,Applied,Maharashtra,PARANDA
BALAJI PRALHAD KINIKAR,Shiv Sena,Applied,Maharashtra,AMBERNATH
SANDEEP PRAKASH NAIK,Independent,Applied,Maharashtra,BELAPUR
SATISH ARJUN BIRHADE,Bahujan Samaj Party,Applied,Maharashtra,PACHORA
AKHTARMIYA JALAL SHAIKH,Independent,Accepted,Maharashtra,LATUR CITY
VIJAY KISAN BARATE,Independent,Applied,Maharashtra,KOTHRUD
DR SAMIDHA SUHAS NATAWADKAR,Indian National Congress,Applied,Maharashtra,NANDURBAR
PATIL HANMANTRAO VENKATRAO,Indian National Congress,Applied,Maharashtra,MUKHED
HANUMANTRAO MAROTI WANALE,Rashtriya Samaj Paksha,Applied,Maharashtra,NAIGAON
BALAJI PRALHAD KINIKAR,Shiv Sena,Applied,Maharashtra,AMBERNATH
AKHTARMIYA JALAL SHAIKH,Independent,Accepted,Maharashtra,LATUR CITY
PRASHANT VASANT KOREGAONKAR,Bharatiya Janata Party,Applied,Maharashtra,PHALTAN
SUBHASH SHANTARAM PAWAR,Independent,Applied,Maharashtra,MURBAD
RAMESHWAR MANGALJI INWATE,Independent,Applied,Maharashtra,RAMTEK
